purchased,priority,name,price,progress,link,purchase_date
True,1.0,Non-Stick Skillet,254.0,100,https://www.4chef.co.il/חנות/מחבת-cookcell-נירוסטה-20-סמ/,2025-07-16
False,2.0,Ledger Nano X™,511.0,100,https://www.ledger.com/products/ledger-nano-x,
False,3.0,Swiss Diamond,423.0,38,https://www.shekel4u.co.il/מחבת-24-סמ?srsltid=AfmBOopvBRZtGTI7OXYq4_Khdj20Kw9FYlNX81Vl_QkCtzYz022txZm2,
False,4.0,Ninja Skillet,225.0,0,https://sarig.com/product/מחבת-24-סמ-ninja-premium/?utm_source=google&utm_medium=cpc&utm_campaign=YM_Pmax_Pan&Pots_MainSite_June24_21409406307&utm_content=&utm_term=&gadid=&gad_source=1&gad_campaignid=21409423647&gbraid=0AAAAAquG3T1_xr-J-kU9-lYx-2SjM3Xxn&gclid=Cj0KCQjwmqPDBhCAARIsADorxIZ8cFBZg73ME1KnpYofVpxMKlcpMFbj4dwb2IY8_3DjCLqVfbbA3xAaAknyEALw_wcB,
